city,year,LST_Celsius,NDVI,image_count,AQI_mean,AQI_days_with_data,population,growth_rate_pct,LST_score,NDVI_score,AQI_score,livability_score
Bengaluru,2015.0,33.2,0.1862,13,112.57,286.0,9889983,4.03,0.5991943605236653,0.9856424982053122,0.8028576288484437,0.7958981625258069
Bengaluru,2016.0,34.53,0.1621,10,105.58,351.0,10288726,4.03,0.46525679758308136,0.8126346015793251,0.8325820717809151,0.7034911569811072
Bengaluru,2017.0,35.94,0.1558,10,87.12,364.0,10703544,4.03,0.32326283987915416,0.7674084709260588,0.9110818166354822,0.6672510424802317
Bengaluru,2018.0,34.42,0.1664,11,86.31,361.0,11135087,4.03,0.4763343403826784,0.8435032304379038,0.9145262799795884,0.7447879502667235
Bengaluru,2019.0,33.96,0.1577,13,91.6,365.0,11584029,4.03,0.5226586102719031,0.7810480976310122,0.8920309576458582,0.7319125551829245
Bengaluru,2020.0,32.85,0.1638,12,79.72,183.0,12051072,4.03,0.6344410876132928,0.8248384781048097,0.9425497533594148,0.8006097730258391
Bengaluru,2021.0,35.45,0.1585,6,69.58,365.0,12536944,4.03,0.372608257804632,0.7867910983488873,0.9856693315189657,0.7150228958908283
Bengaluru,2022.0,32.87,0.1782,11,78.12,365.0,13042406,4.03,0.6324269889224574,0.9282124910265613,0.9493536315699949,0.8366643705063379
Bengaluru,2023.0,33.59,0.1882,14,72.59,365.0,13568247,4.03,0.559919436052366,1.0,0.9728695356353121,0.8442629905625593
Chennai,2015.0,33.23,0.0988,9,148.33,276.0,9667229,2.81,0.5961732124874121,0.3582196697774587,0.6507909508419799,0.5350612777022836
Chennai,2016.0,32.27,0.1025,13,138.57,334.0,9938694,2.81,0.6928499496475322,0.384781048097631,0.6922946079265182,0.5899752018905605
Chennai,2017.0,31.55,0.0848,11,104.54,361.0,10217782,2.81,0.7653575025176231,0.25771715721464467,0.8370045926177921,0.62002641745002
Chennai,2018.0,31.13,0.1044,5,105.49,365.0,10504707,2.81,0.8076535750251762,0.39842067480258436,0.8329647899302602,0.6796796799193402
Chennai,2019.0,32.96,0.0941,10,102.94,365.0,10799688,2.81,0.6233635448136956,0.3244795405599426,0.8438084708283722,0.5972171854006701
Chennai,2020.0,34.08,0.0971,11,80.25,183.0,11102954,2.81,0.5105740181268883,0.3460157932519742,0.9402959687021603,0.5989619266936742
Chennai,2021.0,32.34,0.1052,12,66.21,365.0,11414735,2.81,0.6858006042296068,0.40416367552045945,1.0,0.6966547599166887
Chennai,2022.0,29.22,0.1008,9,71.6,365.0,11735271,2.81,1.0,0.3725771715721464,0.9770794352781085,0.783218868950085
Chennai,2023.0,33.07,0.1023,9,78.08,363.0,12064808,2.81,0.6122860020140986,0.38334529791816224,0.9495237285252593,0.64838500948584
